Salary,Job Description,Location,Min_years_exp,Technical,Comm,Travel
63598,"TASK FORCE: 		Social Services   UNIT:			Department of Youth and Community Development (DYCD)/ Department for                                                              the Aging (DFTA)  JOB TITLE: 		One (1) Assistant Analyst / Analyst / Senior Analyst    CONTROL CODE: 	DSS-20-01   SUMMARY:  The Welfare Task Force oversees expense budgets totaling more than $16 billion for the five social services agencies, as well as the financing for related capital projects. The agencies are the Human Resources Administration, Administration for Children's Services, Department of Homeless Services, Department for the Aging and Department of Youth and Community Development.  Within this Task Force is the DYCD/DFTA unit, which encompasses oversight of the Department of Youth and Community Development (DYCD) and the Department for the Aging (DFTA).  DFTA is responsible for providing over $300M in critical services and protections to older New Yorkers through senior centers, case management and home-care, mental health and friendly visiting programs and much more. DYCD partners with a network of community-based organizations and programs to alleviate the effects of poverty and to provide opportunities for New Yorkers and communities to flourish. They administer over $800M annually to oversee programs such as the Mayorâ€™s signature â€œUniversal Afterschoolâ€ program, the Summer Youth Employment program, Literacy programs, Runaway Homeless Youth Programs and more. This unit is also tasked with larger non-profit sector work. The available Unit Head position is critical in the pursuit of these goals.    JOB DESCRIPTION:  The duties of these positions encompass the following activities:  â€¢	Conduct budget and program analysis for the various programs overseen by DYCD and DFTA, including the Youth Employment (SYEP/WLG), Afterschool (COMPASS/SONYC), Runaway and Homeless Youth, Beacons, Literacy, Senior Centers, Home Delivered Meals, and Case Management. â€¢	Perform qualitative and quantitative analysis of program budgets, expenditures, funding requirements, caseloads, outcomes, and cost effectiveness.  â€¢	Review program operations and performance with a particular focus on evaluating and recommending proposals for cost efficiencies and optimal service outcomes. â€¢	Represent OMB at meetings and program reviews with agency and outside personnel. â€¢	Prepare and present analytical reports on related programmatic and budgetary issues. â€¢	Understand new and existing legislation and regulations governing these areas and analyze the fiscal impact of legislative and regulatory changes.",HQ,5,2,4,0
113695,"The New York City Department of Investigation (â€œDOIâ€) is one of the oldest law enforcement agencies in the country with a mission of combating municipal corruption. It serves the people of New York City by acting as an independent and nonpartisan watchdog for New York City government, City agencies, and City employees, vendors with City contracts, individuals and entities that receive City funds.  The Information Technology Unit of the NYC Department of Investigation is looking for a Systems Engineer to support the agency's IT infrastructure. The ideal candidate will provide enhancements and implementation of new technologies to support the strategic needs of the agency and its partners in the delivery of applications and services in a reliable and secure fashion. The engineer will be responsible for preparing technical reports, design documentation, and run books.   The selected candidate must demonstrate the ability to exercise independent initiative and judgment when managing and monitoring the infrastructure, along with the DOI applications that reside on them. This includes over 200 Windows and Linux servers running multiple applications such as Exchange, SQL, Oracle, and custom in-house applications.   Candidate is required to work Nights and Weekends as needed.",Remote,1,3,3,0
79480,"About New York City Cyber Command  NYC Cyber Command was created in 2017 by Executive Order to lead the Cityâ€™s cyber defense efforts, working across more than 100 agencies and offices to prevent, detect, respond, and recover from cyber threats. NYC Cyber Command is committed to protecting NYC infrastructure and critical systems from malicious attacks through the use of the latest technologies, public-private partnerships, and regular training and exercises for City employees.   NYC3 requires a manager to lead Cyber Intelligence Analysts within NYC Cyber Command who perform many critical functions within the Threat Management discipline. Chief among these functions is providing leadership over the key verticals of the Threat Management team with direct support to operations by consuming and analyzing tactical and technical intel, as well as coordinating between operators and executive staff to include the Deputy CISO of Threat Management, the CISO of New York City, and other external stakeholders.   Responsibilities will include:  â€¢	Supervise the collection and analysis lifecycle for entire team of cyber intelligence analysts; â€¢	Critically analyze and rank threats the cyber intel team recognizes for briefing to Deputy CISO; â€¢	Communicate technical threats in laymanâ€™s terms to Deputy CISO, CISO, and Mayoral staff; â€¢	Provide intel support to primary operators, and also directly assist or execute investigative efforts or tasks; â€¢	Direct or assist hunt missions to augment detection capabilities to identify threats across NYC3 operating environment; â€¢	Oversee the collection, processing, analysis, and dissemination of tactical intelligence (IOCâ€™s) and products (finished reports) throughout NYC3 and partner organizations; â€¢	Develop, maintain, and execute threat and risk communication processes that advise NYC3 network defenders; â€¢	Pushing indicators to security defenses from NYC3â€™s Threat Intelligence Platform (TIP) and coordinating activity with defensive operators; â€¢	Perform network, system, and kill chain analysis on malware introduction and propagation; â€¢	Conduct research for tracking certain code families, campaigns, or actors through technical analysis of data, malicious codes, and infrastructure; â€¢	Employ predictive analytic methods to determine changes in adversaryâ€™s capabilities, motivations, and intent, while providing recommendations to reduce risk before exposure to threats occur; â€¢	Provide direct analytic support to the Security Operations Center, including Incident Response and Risk Analysts, to add context to active investigations and threats using intelligence; â€¢	Create and present custom threat briefing materials for NYC3 Operational teams to provide tactical situational awareness.",Southeast campus,5,2,4,5-10
119541,"Only candidates who are permanent in the Administrative Project Manager title or those who can provide proof of successful registration for the June 2018 Open-Competitive exam (Exam #8042) or Promotional exam (Exam #8529) may apply. Please include a copy of your Receipt for filing or indicate if you are already permanent in the title. Failure to do so will result in your disqualification  The NYC Department of Design and Construction, Division of Infrastructure seeks a Deputy Director for the Drainage Planning and Modeling Team under the Front End Planning. The selected candidate will lead in the efforts of providing Capital Project scope development support by evaluating potential sewer improvement projects to support multiple City initiatives such as Rezoning Planning and Assessments, Municipal Separate Storm Sewer System Permit (MS4), Climate Change and Resiliency along with support for City Programs. The Deputy Director will play a key role in variety of hydraulics and hydrology analysis and conduct modeling in order to provide scope development support to City Agencies for drainage study and/or alternative design analysis. The candidate will also develop or apply existing models to compare alternatives and perform cost-benefit analyses as required for capital scope development with a project feasibility study; coordinate water resource planning efforts; provide Agency-wide technical support for current design projects alternative design analysis as needed; provide reports/presentations of findings, attend meetings with sponsor Agencies and stakeholders, and when required, submit to City Agencies as part of Capital Project scope planning or feasibility study efforts; supervise and mentor staff on managing and performing tasks related to planning, evaluating, designing, and modeling presentations for multiple projects; and will be involved in research and development efforts on advancing adoption of new technologies in sewer infrastructure.",Remote,1,1,4,1-5
71784,"NYC EM has an exciting opportunity for a talented GIS professional to join the Geographic Information  Systems (GIS) Division at New York City Emergency Management (NYC EM).   Under the supervision of the Executive Director, Geographic Information Systems (GIS), the selected applicant will work to analyze, visualize and report on geospatial information to support the work of the       agencyâ€™s executive, planning, and operations staff. The selected candidate will assist in the development of custom applications, create map/app templates, paper maps, and web maps in support of preparedness and response operations, and perform data acquisition, QA/QC, data maintenance, and data management tasks. The selected applicant will also work on creating and updating GIS tools, including Python scripted tools for desktop GIS. In addition, the selected applicant will:  â€¢	Make and use maps and map templates to fulfill NYC EM mapping requests â€¢	Develop custom templates for presentation of geospatial and time-series data â€¢	Perform ETL, data processing, QA/QC, metadata creation and related processes â€¢	Accept ad hoc data acquisition, mapping, geospatial analysis, and reporting requests â€¢	Document Division standard operating procedures for providing GIS support for routine and complex incidents â€¢	Contribute to the production and deployment of data processing and geo-processing scripts, models and tools using Python (ArcPy) and/or JavaScript (Node) â€¢	Contribute to requirements definition, design, and testing for GIS applications â€¢	Identify and acquire citywide data resources; integrate data sources using a service-oriented approach to deliver real-time data for analysis and decision-making support â€¢	Enhance data management capabilities by automating data acquisition, QA/QC, and data management tasks â€¢	Provide research and advice on optimal use of Esri technologies for in-house and remote use   â€¢	Support Esri Enterprise application deployments â€¢	Work on special projects as needed.  The selected candidate will be assigned to periodic Emergency Operations Center team and will be expected to work non-business hours during emergencies. The selected candidate will also participate in drills and exercises, assist with Ready NY presentations to external groups, and will undertake special projects as assigned.",Remote,1,1,3,0
43823,"The New York City Conflicts of Interest Board is seeking a Confidential Investigator to work primarily in its Legal Advice Unit. The Board is an independent City agency and is responsible for administering and enforcing the City's conflicts of interest law, annual disclosure law, legal defense trust (""LDT"") law, and affiliated not-for-profit organizations law (""Chapter 9""). The Board's website is at http://nyc.gov/ethics. Under the supervision of the Board's General Counsel, the Confidential Investigator will perform various duties, including: maintaining the Board's website as a comprehensive legal reference to the Board's law; assisting in the administration of disclosures required by the conflicts of interest law, Chapter 9, and the LDT law, including user database support and maintaining relationships with regulated parties; drafting Board advice letters; maintaining and updating legal files; conducting legal research; and performing routine administrative duties when necessary including photocopying, scanning, and shredding confidential documents. Under the supervision of its Executive Director, the Board's legal staff functions as a collegial, dynamic, and high quality law firm. The Confidential Investigator must possess the maturity, discretion, and judgment necessary for the handling of a myriad of sensitive and often confidential matters and the willingness to provide professional support to the office's legal staff as needed.",HQ,1,1,3,0
65771,"The New York City Housing Authority (NYCHA) is the nationâ€™s largest public housing authority, with an operating budget of $3.3 billion and approximately 10,600 employees who manage and maintain 326 developments that house over 400,000 residents. NYCHA also operates the countryâ€™s largest Section 8 program, which provides rental assistance to over 200,000 additional families.   NYCHA is standing a new Unit reporting directly to the General Manager (or COO), in charge of performing the operational side of environmental hazard compliance. The first division to launch is the Lead-Based Paint Reduction division. Reporting to the Deputy Director of the Lead-Based Paint Division in the Healthy Homes Unit (HHU) will be responsible for the overall management and administration of all lead-based paint operations at NYCHA. This includes but is not limited to, annual visual assessments, biennial re-evaluations, elevated blood lead level response, lead safe work practices, lead paint abatement, and training and certification, all in accordance with the US Department of Housing and Urban Development (HUD) Lead Safe Housing Rule et seq., the HUD Guidelines for the Evaluation and Control of Lead-Based Paint Hazards in Housing issued pursuant to Section 1017 of the Residential Lead-Based Paint Hazard Reduction Act of 1992 (Title X), and the New York City Childhood Lead Poisoning Prevention Act of 2003 et seq.  The Staff Analyst will be responsibilities include, but are not limited to the following:  1.	Maintain a management information system to provide data for the planning and control of project development.  2.	Perform administrative work of ordinary difficulty and responsibility.   3.	During temporary absence of the supervisor, perform their supervisorâ€™s duties.  4.	Participate in the preparation of fiscal requests and staffing proposals, using statistical analyses and cost effectiveness techniques to make recommendations.   NOTE: This position is open to qualified persons with a disability who are eligible for the 55-a Program. Please indicate in your cover letter that you would like to be considered for the position under the 55-a Program. For detailed information regarding the 55-a Program, please click on the following link: http://www.nyc.gov/html/dcas/downloads/pdf/psb/100_1.pdf  Please read this posting carefully to make certain you meet the qualification requirements before applying to this position.",Southeast campus,1,2,4,0
48497,"The NYC Department of Environmental Protection (DEP) enriches the environment and protects public health for all New Yorkers by providing 1.1 billion gallons of high quality drinking water, managing wastewater and stormwater, and reducing air, noise, and hazardous materials pollution.  DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees.  DEP's water supply system is comprised of 19 reservoirs and 3 controlled lakes throughout the systemâ€™s 2,000 square mile watershed that extends 125 miles north and west of the City.  DEP is in partnership with various City agencies to construct systems of Green infrastructure (GI) Rain Gardens, for the purposes of stormwater capture and improved water quality in NYCâ€™s waterways. The majority of Rain Gardens are sited in Brooklyn, Queens and the Bronx.  DEP is responsible for the maintenance and upkeep of these assets.  GI Rain Gardens combine engineered stormwater capture with natural elements of soil and plants, and require particular and specialized care and maintenance.  The Green Infrastructure Maintenance Unit is seeking to employ an experienced Gardener I to join their team of Green Infrastructure professionals.  Under the direction of the supervising Gardener II, the Gardener I will be responsible for supervising seasonal and full time City Park Workers in the daily maintenance of rain gardens, storm water greenstreets, enhanced tree pits and pump stations.  The daily tasks include but are not limited to litter removal, sediment removal and leaf raking.  The Gardener I will observe and note deficiencies in each green infrastructure asset and report to supervision as necessary.  Under the direction of the supervising gardener, the selected candidates will condition or replace soil and gravel; correct uneven soil, slumping and fill in seepage holes in green infrastructure assets; remove weeds, plants and transplants trees, shrubs and ground cover plantings in rain gardens, stormwater greenstreets and enhanced tree pits.  The Gardener I will maintain a daily record of activities, and may record data on a handheld electronic device.     This position requires the performance of arduous labor in varying weather conditions and physical labor, bending, pulling, pushing, stooping, and standing for long periods.   Must wear PPE dust masks, safety glasses, and protective gear.",East campus,5,1,3,0
71134,"The New York City Department of Design and Construction, Division of Public Buildings seeks a Senior Project Manager to work in the Libraries Unit planning, directing and coordinating construction. The selected candidate will manage complex capital commitment projects; review proposed projects to determine how and when the work should be performed; work with clients from project inception to completion to ensure an understanding of each projectâ€™s scope and vision; generate cost estimates to determine the bid price for the project; develop and manage deliverable dates to complete assigned projects in a timely and cost-effective manner.  In addition, supervise, coordinate, and direct construction staff; resolve construction/design issues; negotiate with contractors and vendors; process and review change orders and project estimates; ensure that all safety precautions are adhered to, and work is completed on schedule; generate reports, attend meetings and oversee contractorsâ€™ performance.",East campus,1,1,3,5-10
61198,"The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New York, and has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the cityâ€™s surrounding waterways.  The Bureau of Organizational Development & Human Resources (OD&HR) is the Agencyâ€™s internal consultant/partner on organizational culture change and human resources matters for a workforce of approximately 6,000 employees.  We identify and respond to employee relations issues, staff development needs, and current and strategic work force requirements. Collaborates with employees, management, employee representatives, employee affinity groups, and other City agencies to develop sustainable policies, procedures, and practices.  OD&HR insures our operation is staffed with the best-qualified, developed, and engaged employees.    The HR Generalists will perform all clerical and administrative functions required for processing new hires and salary adjustments personnel transactions.  Assist with day-to-day operations involving various HR functions and duties, providing clerical and administrative support including screening telephone calls.  Responsible for compiling and updating employee records; assisting the Medical Coordinator with pre-employment scheduling; assisting with civil service activities; assisting with the monitoring and tracking of United States Citizenship and Immigration Services employment endorsements, ensuring compliance with work authorization rules and regulations;  assisting with the monitoring and tracking of non-competitive, provisional and civil service hires, DOI submissions, salary adjustments etc. In addition, will coordinate communication with candidates and schedule processing; assist with releasing e-Hire packages to new hires; and review all new hire online applications to ensure information is accurate and correct.  Also, responsible for reviewing qualifying education and experience requirements;  implementing all Payroll Management System (PMS) documents; inputting personnel actions into NYCAPS, e-Hire and CRM; assisting with special projects as determined.",HQ,5,2,3,1-5
41061,"Under the general supervision of the Director of Mediation, a Mediation Coordinator reviews complaints filed by members of the public against New York City police officers to determine the eligibility and suitability of the cases proposed for mediation.  The Mediation Coordinator manages an individual docket of cases, liaisons with complainants and police officers, shepherds cases through the established approved process, schedules mediations, coordinates mediators, and assists in the Mediation Unit training sessions.  The selected individual will receive training for mediators.",HQ,1,3,4,0
99555,"The Division of Sidewalk & Inspection Management (SIM) is responsible for maintaining the city's 12,760 miles of sidewalks and approximately 162,000 pedestrian ramps. SIM is tasked with sustaining a comprehensive pedestrian ramp and sidewalk program that ensures accessibility of pedestrian ramps, streets and sidewalks. SIM has an exciting opportunity for seasoned engineers to lead an exceptional team of skilled engineers and project managers to deliver an ambitious ped ramp accessibility program. Within the SIMâ€™s Division, the Pedestrian Ramp Program Engineering Quality Control Team is responsible for providing engineering technical assistance to the Highway Inspection and Quality Assurance (HIQA) Pedestrian Ramp Enforcement Unit.  Reporting to the Engineering Executive Director of the Pedestrian Ramp Project Management Unit, the Quality Control Senior Engineer (QCSE) will lead a team of engineers who will be responsible to provide engineering technical assistance to the Highway Inspection and Quality Assurance (HIQA) Pedestrian Ramp Enforcement Unit in ensuring the any work performed by private contractors, utility companies and other governmental agencies complies with the appropriate New York City Standards and Specifications and Accessibility Requirements (in accordance with the American Disability Act), performing field mark-outs, preparing field technical reports, resolving any  outstanding issues and any other related work, including actions required to reduce and mitigate project associated risks that would present a roadblock in the expedited completion of pedestrian ramps reconstruction projects. The team will engage in engineering investigations, engineering reviews, engineering studies, participate in field surveys of existing conditions and developing reports. The QCSE will need to actively collaborate with other units with NYC DOT and other City agencies, and with outside contractors in the execution of the work. The selected candidate will have wide latitude for independent judgment, initiative and action in identifying, planning, coordinating and overseeing the development of quality control parameters and processes related to the quality control and quality assurance of the Pedestrian Ramp Program throughout all boroughs of New York City.",East campus,5,1,4,0
122105,"Only candidates who are permanent in the Administrative Project Manager title, or those who can provide proof of successful registration for the June 2018 Open Competitive Exam (Exam #8042) or Promotional Exam (Exam #8529) may apply. Failure to do so will result in your disqualification.   The Department of Design & Construction, Division of Public Buildings/Architecture and Engineering Unit seeks Senior Structural Design & Review Engineers. The selected candidates will serve as the Senior Engineers for the structural discipline, designing foundations, structural systems, retaining walls, seismic and code compliant upgrades, etc. The Engineers are senior team members responsible for the overall development and implementation of designated tasks for Architectural/Engineering (A&E) In-House design projects. The selected candidates will design and develop construction documents for in-house projects; be proficient in the design of concrete, steel, structural wood, light and tensile membranes and/or composite structures among others; prepare cost estimates and specifications; coordinate resolution of inquiries, prepare addenda during the bidding process; write and update technical specifications for construction work to be performed; and review and proofread specifications prepared by support staff, consultants, and other City, State and Federal Agencies to ensure compliance with DDCs policies and procedures. Additional responsibilities will include review of design and/or constructability documents of consultant engineering services for DDCâ€™s capital construction program (utilizing BlueBeam Revu); site inspections and reports, ad hoc Structural investigations; condition surveys; and providing technical expertise and support services for client agency projects. The selected candidates will interface with clients, consultants, contractors, and technical staff.",Remote,1,1,4,10-15
119667,"The Department of Design and Construction seeks to hire a Section Chief of Environmental Permitting working under the general direction of the Deputy Director / Director. The selected candidate will be responsible for managing the work product of five environmental consultants for technical accuracy, completeness, timeliness and cost effectiveness. S/he will review design documents to determine the assignment and review of Environmental Assessment/Impact Statements, wetland permit applications, dewatering permit applications, to ensure compliance with SEQR/CEQR requirements and directly manage priority environmental projects of various levels of complexity. The selected candidate will track the status of environmental task assignments for DDCâ€™s capital projects, coordinate meetings and respond to inquiries from client agencies, regulators and DDCâ€™s Public Buildings and Infrastructure divisions. In addition, he/she will conduct field visits with subordinates, respond to environmental or hazardous materials incidents and develop remedial actions plans to mitigate hazards and ensure compliance with Federal, NYS and NYC regulations. Also required is the review of spill closure investigations, Health and Safety Plan (HASP), Field Sampling Plan (FSP), Material Handling Plan (MHP), and Remedial Action Plans (RAP)sampling protocols, interpretation of analytical results, comparing data to regulatory standards, writing technical reports and standard operating procedures, when needed, and conducting presentations on the regulatory requirements for environmental compliance.",West campus,1,1,4,0
55102,"A Staff Analyst (Level I) is a full-time instructor position in the NYPD's Police Academy. The Staff Analyst will assist in providing a structured training regimen by facilitating various training courses offered by the Specialized Training Section for both entry-level an in-service civilian members of the service. The Staff Analyst will be responsible for preparing lesson plans, learning objectives, lectures, exercises, and other classroom materials for use in a wide array of training programs. The position will require the Staff Analyst to research and design training and procedural manuals, design and implement systems for evaluating the effectiveness of training programs and procedures, and maintain liaison with other commands throughout the Department.",Remote,1,1,4,0
64704,"The Division of Prevention and Primary Care is seeking a Community Coordinator/ Farm to Preschool Coordinator in our Bureau of Chronic Disease Prevention and Tobacco Control/ Healthy Eating Unit. The Bureau of Chronic Disease Prevention and Tobacco Control spearheads programs and initiatives to reduce the burden of chronic diseases by addressing underlying risk factors, such as poor nutrition, physical inactivity and tobacco use. The Bureau aims to reduce the leading causes of preventable deaths through innovative environmental and systems changes and groundbreaking policies that promote healthy eating, physical activity, and tobacco control. The Bureau, which is part of the Division of Prevention and Primary Care, achieves its goals through implementing neighborhood and population-level programs with an emphasis on policy, systems, and environmental changes.   DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:   â€¢	Plans, coordinates, and monitors programming for the Farm to Preschool community program that connects child care centers to community farmers markets. â€¢	Provides trainings, informational sessions, and workshops for child care center staff participating in the community program to build capacity in gardening with children and connecting to local food purchasing opportunities in the community. â€¢	Outreaches and communicates with child care center staff participating in the Farm to Preschool community program â€¢	Supervise  seasonal educators who provide technical assistance and nutritional workshops to Farm to Preschool child care centers. â€¢	Plans and convenes regular staff meetings to develop strategies, share community resources, and provide updates for community outreach. â€¢	Perform on site performance evaluations and prepares reports for New York State Department of Health contract manager to measure the rate of implementation and challenges â€¢	Responsible for the distribution of supplies to child care centers needed for proper implementation of Farm to Preschool community program. â€¢	Performs other duties, as needed",West campus,5,3,3,0
63372,"The Director of Data & Operations will oversee a team that supports internal operations across a wide portfolio of programs serving business owners in New York City. The Director will create templates, processes, and other tools to support the division priorities including quality assurance, budget management, pipeline development, performance and impact tracking and project implementation. The Director and team will lead training on these processes, as well as planning other professional development opportunities, across all teams. They will also support reporting and technology needs across the division, as well as data and research requests from the Executive Office, City Hall, and other stakeholders as directed. The Director will oversee two staff members and will report to the Executive Director for Business Development and Strategy. Specific responsibilities include:  â€¢Support strategic planning processes for Division, in partnership with senior Division leadership â€¢Ensure integrity of data generated internally in the Division and collected from outside sources â€¢Serve as the point person for thinking through processes related to evaluation, monitoring and data analysis  â€¢Create strategy for the maintenance and enhancement of data-tracking systems, especially related to tracking impact and information necessary to measuring key performance indicators â€¢Lead the development of tools to support division-wide projects and priorities, and train staff  â€¢Oversee division-wide technology initiatives, ranging from the creation of new tools to customer relationship management â€¢Develop new performance indicators and methods of measurement, including working with institutional partners to gather necessary information â€¢Provide input and develop best practices around vendor management, operating plans, business engagement, and other common division tasks â€¢Help facilitate research and structure for business development for SBS-based and center-based programs â€¢Advise Executive Director and Deputy Commissioner staff on issues relating to data, internal processes, technology, and metrics, among other items  â€¢Work independently to solve project problems, including identifying and documenting options and  â€¢Conduct qualitative and quantitative analyses to support the development of new policies â€¢Use quantitative, qualitative and best practice research to inform the creation of new policies and practices â€¢Synthesize complex information into presentations and reports for various audiences â€¢Work with team to respond to time-sensitive requests from City Hall, SBS Executive Staff, elected officials, press and the public â€¢Execute all tasks necessary to carry out program initiatives successfully  â€¢Conduct policy and program research â€¢Other tasks and duties as needed",East campus,1,1,3,0
110151,"The Application Release Coordinator will facilitate across different business areas to coordinate software change, configuration, running of automated tests scripts and release function.  Interact with senior customers (Directors, Managers and Supervisors) within the agency.  Coordinate releases to endure that the integrity of the production environment and that the correct components are released.  Monitor and report on the efficiency and effectiveness of the release management process across the organization using metrics, and make recommendations for improvement.  Ensuring that all IT teams follow the release management process for all releases and escalate any repeated non-conformity.  Maintain quality checks on releases and record those that directly or indirectly cause support incidents.  In addition, the Application Release Coordinator will be responsible for creating automation for the release management process and to continue to evaluate the process for improvement.  This may include coding/scripting as part of the release process and back out procedures.      Mandatory Experience  â€¢	Experience working with SQL server, DB2 and MySQL â€¢	Experience with JIRA Confluence â€¢	Experience with programming languages JAVA and .NET â€¢	Experience with Windows Server 2012/2016 and SUSE Linux 11 or later",HQ,1,2,4,0
81269,"The mission of the Bureau of HIV/AIDS Prevention and Control (BHIV) is to prevent new HIV infections and reduce morbidity and mortality among HIV-infected persons.   Toward this goal, New York State and New York City jointly developed a blueprint to End the Epidemic (EtE) of HIV and AIDS with an aim to decrease new HIV infections by 2020. As part of the EtE initiative, NYC has adopted the following 3-point plan: use HIV testing to identify persons with HIV, link persons diagnosed with HIV to HIV primary care and retain them in care, and increase access to pre-exposure prophylaxis (PrEP) and post-exposure prophylaxis (PEP) to prevent new infections in persons at-risk of exposure to HIV.   DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:   * Analyze and review programmatic data to monitor the performance or contracted programs.  * Work with the Prevention Research and evaluation Unit on reviewing and updating modules in BHIV's data reporting system.  * Work with the Prevention Research and Evaluation on creating and updating reports and other data monitoring tools.   * Work with Prevention Research and Evaluation on developing data parameters to inform outcomes evaluation activities.  * Work with the Prevention Research and Evaluation on data cleaning by reviewing programmatic data for inconsistencies and errors, following up with contractors, and providing guidance on data correction.   * Lead needs assessment, planning and development of materials and resources to support funded agencies.  * Lead planning and coordination of meetings to review contract performance.   * Conduct site visits with contractors to discuss the progress of implementation and review performance data to inform program improvement;   * Support the development and delivery of trainings for contractors, including co-facilitating trainings.  * Generate and share data reports and data presentations with contractors.  * Act a team lead and chief point of contact for a set of contracts.   * Supervise interns on projects that support the activities of the technical assistance team.  * Establish and maintain strong relationships with healthcare facilities and CBOs funded by BHIV.  * Support contracted agencies in implementing models of high-impact HIV prevention through biomedical and behavioral interventions, including HIV testing, PrEP, PEP, and iART.   * Liaise and coordinate with funded agencies, master contractor, funders and other collaborators to improve and enhance contract performance; * Assist funded agencies in the development and implementation of quality improvement protocols.  * Participate in contract compliance process, making recommendations in collaboration with BHIV leadership and master contractor; * Work with the Prevention team in writing reports, abstracts, and scientific papers.  * Provide technical assistance based on analysis of contractor data and by using HIV surveillance data and other data sources to inform recommendations and guidance.  * Lead and support the planning implementation of meetings for contractors: coordinate logistics, develop the agenda and content for all sessions, present at the meetings on relevant topics, and facilitate workshops and discussions for contractors.  * Conduct public health literature reviews to identify best practices in prevention service delivery: * Work with Prevention Research and Evaluation on analyzing and reviewing data for provider meetings and learning collaborative.   * Coordinate workflow and collaboration with other team in the HIV Prevention Program and within BHIV.  * Work collaboratively with internal and external partners in ensuring program quality and performance.   * Assist the Director of Technical Assistance and Quality Management in conducting literature reviews and applied research as needed; * Collaborate with Research and Evaluation team to support dissemination of BHIV initiatives.  * Perform ad-hoc duties as may be assigned by the supervisor.",East campus,1,2,3,0
74904,"Reporting to the Executive Director of Protective Accountability, the Director of the Child Protective Audit Unit will:  â€¢	Lead and supervise case auditors, including day-to-day supervision and coaching, complete performance evaluations and other administrative functions for the Child Protective Audit Unit. â€¢	Support the development and implementation of review instruments employed to assess case practice and record ratings online. â€¢	Analyze case review findings and work closely with the Executive Director to draft reports of findings for internal and external stakeholders including but not limited to the DCP Borough Offices, Emergency Children's Services Unit or the Confidential Investigations Unit. â€¢	Monitor and ensure random case selection for review and maintain progress log on completion of assignments, as well as annual log.  â€¢	Ensure complete and consistent evaluation of child safety in all reviews (quality control). â€¢	Create measures to monitor the quality of case reviews and the reliability of reviewersâ€™ ratings of frontline practice. â€¢	Reviews alerts generated, submit all alerts to DCP and follows up with DCP to confirm alert issues were addressed.  Tracks alerts.",East campus,1,1,3,0
78429,"OPEN TO PERMANENT PUBLIC HEALTH NURSES ONLY. YOU MUST CLEARLY STATE YOUR CIVIL SERVICE STATUS ON YOUR RESUME OR COVER LETTER. FAILURE TO DO SO WILL RESULT IN YOUR DISQUALIFICATION.   The Family and Child Health Administration (FCH) is a division comprising of the Office of School Health (OSH), the Bureau of Maternal Infant & Reproductive Health (BMIRH), the Bureau of Early intervention (BEI) and FCH Administration. OSH promotes the health of the 1.3 million school children enrolled in approximately 1,800 public and non-public schools in New York City. Services to students include management of chronic health problems, preventive health screenings, urgent care, medication administration, preventive counseling and health education.   DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:   Under the supervision of the Director of Nursing/Deputy Director and Assistant Director of Nursing, with latitude for independent judgment, the Central Office Public Health Nurse III will be responsible for the following:   --Monitor and collaborate with the Contracted Nursing Agencies to ensure compliance with agreed upon policies and procedures.   --Supervise the Office of School Central Office (CO) Support Nurse.   --Represent Office of School as the Nurse Liaison for Contract Agency Nursing services.   --Conduct Quality Improvement (QI) activities for Contracted Long Term and Short Term nursing services including school and agency visits for this purpose and data gathering and compilation.   --Develop training curriculums for Contracted Nursing Agencies.   --Coordinate and conduct Contracted Nursing Agency training, orientation sessions, and meetings as needed.   --Liaise with DOHMH internal programs regarding routine and emergency safety and health trainings for OSH staff (DOHMH Safety and Health Program) and vaccination scheduling (DOHMH Employee Health Program (EHP).   --Serve as the central office compliance liaison by coordinating with DOE Office of Safety and Occupational Health (OOSH) and DOHMH Occupational Safety and Health for mandated health trainings.   --Conduct mandated trainings for new OSH staff.   --Coordinate sharps related front-line surveys and related action item.   --Update the OSH Exposure Control Plan (ECP).   --Represent OSH Nursing on DOHMH Infection Control committees and Pharmacy committees.   --Assist with OSH initiatives and special project, i.e. Epi-pen trainings, policy updates and committees.   --Assist with Central Office activities as needed, i.e. staff development, recruitment, communicable diseases, special nursing services, etc.   --Provide ongoing feedback to supervisors.   --Serve on emergency teams which are on call for all future bioterrorism attacks within the City of New York as well as all emergencies as directed by the Commissioner of the Department of Health and Mental Hygiene.",Remote,1,1,3,0
